Goal,Steps on grass,myopia,moral judgment
a friend,0,0.04650352691567956,95.34964730843204
a friend,1,0.055763838937916275,94.42361610620837
a friend,2,0.06447565138233746,93.55243486176626
a friend,3,1.0,0.0
a friend,4,1.0,0.0
a friend,5,1.0,0.0
a friend,6,1.0,0.0
a friend,7,1.0,0.0
pain,0,0.04650352691567956,95.34964730843204
pain,1,0.055763838937916275,94.42361610620837
pain,2,0.0687613681289311,93.12386318710689
pain,3,0.08827590902170772,91.17240909782923
pain,4,0.12051847576240411,87.9481524237596
pain,5,0.18061542000628683,81.93845799937131
pain,6,0.30054784866529505,69.9452151334705
pain,7,0.5064556434818822,49.35443565181178
ice cream,0,0.04650352691567956,95.34964730843204
ice cream,1,0.055763838937916275,94.42361610620837
ice cream,2,0.0687613681289311,93.12386318710689
ice cream,3,1.0,0.0
ice cream,4,1.0,0.0
ice cream,5,1.0,0.0
ice cream,6,1.0,0.0
ice cream,7,1.0,0.0
vac clinic,0,0.04650352691567956,95.34964730843204
vac clinic,1,0.055763838937916275,94.42361610620837
vac clinic,2,0.0687613681289311,93.12386318710689
vac clinic,3,1.0,0.0
vac clinic,4,1.0,0.0
vac clinic,5,1.0,0.0
vac clinic,6,1.0,0.0
vac clinic,7,1.0,0.0
porta-potty,0,0.04650352691567956,95.34964730843204
porta-potty,1,0.055763838937916275,94.42361610620837
porta-potty,2,0.0687613681289311,93.12386318710689
porta-potty,3,0.08827590902170772,91.17240909782923
porta-potty,4,0.13498585539354913,86.5014144606451
porta-potty,5,0.8862525692981817,11.374743070181822
porta-potty,6,1.0,0.0
porta-potty,7,1.0,0.0
police car,0,0.04650352691567956,95.34964730843204
police car,1,0.055763838937916275,94.42361610620837
police car,2,0.0687613681289311,93.12386318710689
police car,3,0.08827590902170772,91.17240909782923
police car,4,0.12051847576240411,87.9481524237596
police car,5,0.18061542000628683,81.93845799937131
police car,6,0.30222677910125856,69.77732208987415
police car,7,0.5918367346938773,40.816326530612265
